,TEMP_wrist
0,32.53
1,32.53
2,32.53
3,32.53
4,32.53
5,32.53
6,32.53
7,32.53
8,32.53
9,32.53
10,32.53
11,32.53
12,32.53
13,32.53
14,32.53
15,32.53
16,32.53
17,32.53
18,32.55
19,32.55
20,32.55
21,32.55
22,32.55
23,32.55
24,32.55
25,32.55
26,32.53
27,32.53
28,32.53
29,32.53
30,32.55
31,32.55
32,32.55
33,32.55
34,32.53
35,32.53
36,32.53
37,32.53
38,32.53
39,32.53
40,32.53
41,32.53
42,32.53
43,32.53
44,32.53
45,32.53
46,32.55
47,32.55
48,32.55
49,32.55
50,32.53
51,32.53
52,32.53
53,32.53
54,32.53
55,32.53
56,32.53
57,32.53
58,32.53
59,32.53
60,32.53
61,32.53
62,32.55
63,32.55
64,32.55
65,32.55
66,32.53
67,32.53
68,32.53
69,32.53
70,32.53
71,32.53
72,32.53
73,32.53
74,32.55
75,32.55
76,32.55
77,32.55
78,32.53
79,32.53
80,32.53
81,32.53
82,32.53
83,32.53
84,32.53
85,32.53
86,32.5
87,32.5
88,32.5
89,32.5
90,32.55
91,32.55
92,32.55
93,32.55
94,32.55
95,32.55
96,32.55
97,32.55
98,32.53
99,32.53
100,32.53
101,32.53
102,32.49
103,32.49
104,32.49
105,32.49
106,32.53
107,32.53
108,32.53
109,32.53
110,32.5
111,32.5
112,32.5
113,32.5
114,32.53
115,32.53
116,32.53
117,32.53
118,32.53
119,32.53
120,32.53
121,32.53
122,32.5
123,32.5
124,32.5
125,32.5
126,32.49
127,32.49
128,32.49
129,32.49
130,32.5
131,32.5
132,32.5
133,32.5
134,32.5
135,32.5
136,32.5
137,32.5
138,32.53
139,32.53
140,32.53
141,32.53
142,32.53
143,32.53
144,32.53
145,32.53
146,32.53
147,32.53
148,32.53
149,32.53
150,32.55
151,32.55
152,32.55
153,32.55
154,32.5
155,32.5
156,32.5
157,32.5
158,32.53
159,32.53
160,32.53
161,32.53
162,32.55
163,32.55
164,32.55
165,32.55
166,32.55
167,32.55
168,32.55
169,32.55
170,32.53
171,32.53
172,32.53
173,32.53
174,32.53
175,32.53
176,32.53
177,32.53
178,32.55
179,32.55
180,32.55
181,32.55
182,32.55
183,32.55
184,32.55
185,32.55
186,32.55
