,ACC_wrist_x,ACC_wrist_y,ACC_wrist_z
0,127.0,-50.0,127.0
1,127.0,46.0,-8.0
2,90.0,24.0,57.0
3,40.0,19.0,92.0
4,19.0,5.0,68.0
5,57.0,14.0,-46.0
6,111.0,38.0,-128.0
7,42.0,56.0,-128.0
8,35.0,-21.0,-75.0
9,79.0,-128.0,127.0
10,-62.0,29.0,-125.0
11,85.0,9.0,77.0
12,99.0,22.0,78.0
13,66.0,1.0,63.0
14,90.0,2.0,68.0
15,108.0,-2.0,53.0
16,55.0,12.0,1.0
17,80.0,21.0,24.0
18,65.0,29.0,27.0
19,33.0,38.0,11.0
20,-27.0,25.0,-4.0
21,32.0,16.0,59.0
22,21.0,16.0,51.0
23,-6.0,11.0,37.0
24,9.0,8.0,52.0
25,6.0,9.0,56.0
26,5.0,12.0,64.0
27,1.0,13.0,63.0
28,5.0,15.0,66.0
29,2.0,16.0,66.0
30,-4.0,13.0,63.0
31,1.0,14.0,64.0
32,4.0,14.0,64.0
33,3.0,14.0,63.0
34,3.0,14.0,62.0
35,4.0,15.0,63.0
36,2.0,13.0,61.0
37,1.0,14.0,62.0
38,-1.0,14.0,61.0
39,0.0,13.0,62.0
40,0.0,14.0,62.0
41,1.0,14.0,61.0
42,1.0,14.0,62.0
43,0.0,14.0,60.0
44,2.0,14.0,63.0
45,1.0,14.0,63.0
46,-1.0,13.0,60.0
47,-1.0,13.0,61.0
48,0.0,12.0,64.0
49,-1.0,12.0,62.0
50,-1.0,13.0,62.0
51,0.0,13.0,62.0
52,0.0,13.0,62.0
53,0.0,14.0,62.0
54,0.0,13.0,62.0
55,1.0,13.0,61.0
56,1.0,13.0,62.0
57,0.0,13.0,61.0
58,1.0,13.0,61.0
59,2.0,13.0,63.0
60,1.0,14.0,61.0
61,1.0,14.0,62.0
62,2.0,13.0,62.0
63,1.0,14.0,61.0
64,2.0,13.0,63.0
65,1.0,12.0,63.0
66,-1.0,13.0,62.0
67,0.0,14.0,63.0
68,0.0,13.0,61.0
69,1.0,14.0,61.0
70,1.0,14.0,61.0
71,1.0,14.0,60.0
72,1.0,14.0,61.0
73,0.0,13.0,61.0
74,1.0,13.0,63.0
75,0.0,13.0,62.0
76,0.0,13.0,63.0
77,0.0,13.0,63.0
78,0.0,13.0,62.0
79,1.0,14.0,62.0
80,1.0,14.0,62.0
81,1.0,14.0,61.0
82,1.0,14.0,62.0
83,0.0,13.0,62.0
84,0.0,13.0,62.0
85,1.0,13.0,63.0
86,0.0,13.0,61.0
87,0.0,13.0,62.0
88,0.0,13.0,62.0
89,0.0,13.0,62.0
90,0.0,13.0,62.0
91,0.0,13.0,61.0
92,0.0,13.0,62.0
93,0.0,13.0,62.0
94,0.0,13.0,61.0
95,0.0,13.0,61.0
96,-1.0,13.0,61.0
97,-1.0,13.0,61.0
98,1.0,13.0,62.0
99,0.0,13.0,61.0
100,1.0,14.0,62.0
101,0.0,14.0,63.0
102,0.0,13.0,63.0
103,0.0,13.0,62.0
104,0.0,13.0,63.0
105,0.0,13.0,62.0
106,0.0,13.0,61.0
107,0.0,13.0,61.0
108,0.0,14.0,60.0
109,1.0,14.0,61.0
110,1.0,14.0,61.0
111,1.0,14.0,63.0
112,1.0,13.0,63.0
113,1.0,13.0,63.0
114,1.0,14.0,63.0
115,1.0,13.0,63.0
116,1.0,13.0,62.0
117,1.0,14.0,62.0
118,1.0,13.0,61.0
119,1.0,14.0,61.0
120,1.0,14.0,62.0
121,0.0,13.0,62.0
122,0.0,13.0,62.0
123,0.0,13.0,62.0
124,0.0,13.0,62.0
125,0.0,13.0,62.0
126,0.0,14.0,61.0
127,1.0,14.0,61.0
128,0.0,13.0,61.0
129,0.0,13.0,61.0
130,0.0,13.0,61.0
131,-1.0,13.0,62.0
132,0.0,13.0,62.0
133,0.0,13.0,62.0
134,0.0,13.0,62.0
135,0.0,13.0,62.0
136,0.0,14.0,62.0
137,2.0,13.0,64.0
138,1.0,13.0,64.0
139,0.0,14.0,62.0
140,0.0,14.0,62.0
141,0.0,13.0,62.0
142,0.0,14.0,61.0
143,0.0,13.0,61.0
144,0.0,14.0,61.0
145,0.0,14.0,61.0
146,0.0,14.0,62.0
147,-1.0,14.0,61.0
148,0.0,14.0,61.0
149,1.0,14.0,62.0
150,0.0,14.0,62.0
151,0.0,13.0,62.0
152,0.0,13.0,62.0
153,0.0,13.0,62.0
154,0.0,14.0,62.0
155,0.0,14.0,61.0
156,0.0,14.0,61.0
157,1.0,13.0,61.0
158,0.0,13.0,60.0
159,0.0,13.0,60.0
160,-1.0,12.0,58.0
161,-1.0,11.0,58.0
162,0.0,12.0,56.0
163,1.0,12.0,56.0
164,-1.0,7.0,50.0
165,-1.0,6.0,47.0
166,2.0,3.0,44.0
167,-3.0,0.0,28.0
168,-2.0,0.0,23.0
169,13.0,-1.0,18.0
170,20.0,0.0,14.0
171,37.0,-1.0,18.0
172,52.0,4.0,25.0
173,58.0,2.0,26.0
174,62.0,-8.0,25.0
175,67.0,-10.0,27.0
176,69.0,-15.0,25.0
177,59.0,-33.0,9.0
178,66.0,-46.0,16.0
179,65.0,-45.0,19.0
180,63.0,-51.0,10.0
181,63.0,-66.0,2.0
182,58.0,-74.0,2.0
183,49.0,-75.0,3.0
184,53.0,-81.0,-6.0
185,53.0,-79.0,-8.0
186,54.0,-73.0,-2.0
187,42.0,-67.0,5.0
188,39.0,-65.0,6.0
189,40.0,-61.0,1.0
190,38.0,-58.0,0.0
191,36.0,-55.0,3.0
192,35.0,-52.0,3.0
193,36.0,-52.0,4.0
194,38.0,-53.0,8.0
195,38.0,-54.0,8.0
196,36.0,-57.0,10.0
197,32.0,-60.0,13.0
198,29.0,-61.0,13.0
199,25.0,-61.0,14.0
200,25.0,-62.0,15.0
201,21.0,-62.0,14.0
202,20.0,-61.0,14.0
203,20.0,-61.0,14.0
204,21.0,-59.0,14.0
205,21.0,-57.0,13.0
206,21.0,-56.0,12.0
207,20.0,-54.0,11.0
208,20.0,-53.0,11.0
209,20.0,-52.0,10.0
210,21.0,-52.0,10.0
211,21.0,-52.0,10.0
212,22.0,-53.0,9.0
213,22.0,-54.0,10.0
214,23.0,-55.0,9.0
215,25.0,-57.0,9.0
216,26.0,-58.0,10.0
217,27.0,-59.0,11.0
218,28.0,-59.0,11.0
219,28.0,-60.0,11.0
220,28.0,-61.0,12.0
221,26.0,-60.0,12.0
222,25.0,-56.0,12.0
223,26.0,-56.0,13.0
224,27.0,-57.0,15.0
225,28.0,-55.0,15.0
226,28.0,-53.0,15.0
227,28.0,-52.0,16.0
228,28.0,-52.0,16.0
229,29.0,-53.0,17.0
230,29.0,-54.0,18.0
231,28.0,-53.0,17.0
232,28.0,-54.0,17.0
233,28.0,-55.0,17.0
234,27.0,-56.0,16.0
235,26.0,-58.0,16.0
236,26.0,-61.0,16.0
237,25.0,-64.0,16.0
238,24.0,-62.0,14.0
239,23.0,-61.0,14.0
240,23.0,-62.0,13.0
241,22.0,-63.0,12.0
242,21.0,-60.0,11.0
243,21.0,-58.0,11.0
244,21.0,-54.0,11.0
245,20.0,-55.0,10.0
246,20.0,-56.0,10.0
247,20.0,-57.0,9.0
248,19.0,-56.0,8.0
249,21.0,-57.0,8.0
250,22.0,-56.0,8.0
251,22.0,-55.0,8.0
252,23.0,-55.0,8.0
253,24.0,-55.0,8.0
254,23.0,-56.0,8.0
255,23.0,-60.0,7.0
256,24.0,-61.0,7.0
257,25.0,-57.0,7.0
258,25.0,-56.0,8.0
259,27.0,-59.0,8.0
260,28.0,-60.0,7.0
261,27.0,-60.0,7.0
262,26.0,-59.0,8.0
263,26.0,-58.0,9.0
264,25.0,-56.0,9.0
265,24.0,-58.0,10.0
266,25.0,-58.0,10.0
267,25.0,-58.0,11.0
268,25.0,-58.0,11.0
269,24.0,-61.0,10.0
270,23.0,-63.0,10.0
271,23.0,-61.0,10.0
272,23.0,-57.0,10.0
273,22.0,-56.0,10.0
274,21.0,-57.0,9.0
275,21.0,-59.0,9.0
276,21.0,-58.0,9.0
277,21.0,-56.0,9.0
278,21.0,-55.0,10.0
279,21.0,-55.0,10.0
280,21.0,-57.0,10.0
281,21.0,-58.0,10.0
282,22.0,-58.0,10.0
283,22.0,-57.0,10.0
284,23.0,-55.0,10.0
285,23.0,-55.0,11.0
286,23.0,-56.0,11.0
287,23.0,-57.0,11.0
288,25.0,-58.0,11.0
289,25.0,-58.0,11.0
290,26.0,-57.0,11.0
291,26.0,-57.0,12.0
292,26.0,-57.0,12.0
293,25.0,-57.0,12.0
294,25.0,-57.0,12.0
295,25.0,-57.0,12.0
296,25.0,-57.0,12.0
297,25.0,-57.0,12.0
298,24.0,-57.0,12.0
299,24.0,-57.0,12.0
300,23.0,-57.0,12.0
301,23.0,-57.0,12.0
302,23.0,-57.0,12.0
303,23.0,-57.0,11.0
304,22.0,-57.0,11.0
305,22.0,-57.0,11.0
306,22.0,-57.0,10.0
307,22.0,-57.0,10.0
308,23.0,-57.0,10.0
309,23.0,-57.0,10.0
310,23.0,-57.0,9.0
311,23.0,-57.0,9.0
312,23.0,-57.0,9.0
313,24.0,-57.0,9.0
314,24.0,-57.0,10.0
315,24.0,-57.0,10.0
316,24.0,-57.0,10.0
317,25.0,-58.0,11.0
318,25.0,-57.0,11.0
319,25.0,-58.0,11.0
320,25.0,-57.0,11.0
321,24.0,-57.0,11.0
322,24.0,-57.0,12.0
323,24.0,-57.0,12.0
324,24.0,-57.0,11.0
325,24.0,-57.0,11.0
326,24.0,-57.0,11.0
327,23.0,-57.0,11.0
328,23.0,-57.0,10.0
329,23.0,-57.0,10.0
330,23.0,-57.0,10.0
331,23.0,-57.0,10.0
332,23.0,-57.0,10.0
333,23.0,-57.0,10.0
334,23.0,-57.0,10.0
335,23.0,-57.0,10.0
336,23.0,-57.0,10.0
337,23.0,-57.0,10.0
338,24.0,-57.0,11.0
339,24.0,-57.0,11.0
340,24.0,-57.0,11.0
