,TEMP_wrist
0,34.71
1,34.71
2,34.68
3,34.68
4,34.68
5,34.68
6,34.73
7,34.73
8,34.73
9,34.73
10,34.68
11,34.68
12,34.68
13,34.68
14,34.71
15,34.71
16,34.71
17,34.71
18,34.73
19,34.73
20,34.73
21,34.73
22,34.71
23,34.71
24,34.71
25,34.71
26,34.71
27,34.71
28,34.71
29,34.71
30,34.71
31,34.71
32,34.71
33,34.71
34,34.73
35,34.73
36,34.73
37,34.73
38,34.71
39,34.71
40,34.71
41,34.71
42,34.71
43,34.71
44,34.71
45,34.71
46,34.66
47,34.66
48,34.66
49,34.66
50,34.71
51,34.71
52,34.71
53,34.71
54,34.71
55,34.71
56,34.71
57,34.71
58,34.71
59,34.71
60,34.71
61,34.71
62,34.73
63,34.73
64,34.73
65,34.73
66,34.73
67,34.73
68,34.73
69,34.73
70,34.73
71,34.73
72,34.73
73,34.73
74,34.73
75,34.73
76,34.73
77,34.73
78,34.71
79,34.71
80,34.71
81,34.71
82,34.73
83,34.73
84,34.73
85,34.73
86,34.71
87,34.71
88,34.71
89,34.71
90,34.73
91,34.73
92,34.73
93,34.73
94,34.71
95,34.71
96,34.71
97,34.71
98,34.73
99,34.73
100,34.73
101,34.73
102,34.68
103,34.68
104,34.68
105,34.68
106,34.68
107,34.68
108,34.68
109,34.68
110,34.73
111,34.73
112,34.73
113,34.73
114,34.71
115,34.71
116,34.71
117,34.71
118,34.73
119,34.73
120,34.73
121,34.73
122,34.75
123,34.75
124,34.75
125,34.75
126,34.71
127,34.71
128,34.71
129,34.71
130,34.73
131,34.73
132,34.73
133,34.73
134,34.73
135,34.73
136,34.73
137,34.73
138,34.75
139,34.75
140,34.75
141,34.75
142,34.71
143,34.71
144,34.71
145,34.71
146,34.71
147,34.71
148,34.71
149,34.71
150,34.75
151,34.75
152,34.75
153,34.75
154,34.73
155,34.73
156,34.73
157,34.73
158,34.73
159,34.73
160,34.73
161,34.73
162,34.73
163,34.73
164,34.73
165,34.73
166,34.73
167,34.73
168,34.73
169,34.73
170,34.73
171,34.73
172,34.73
173,34.73
174,34.75
175,34.75
176,34.75
177,34.75
178,34.73
179,34.73
180,34.73
181,34.73
182,34.75
183,34.75
184,34.75
185,34.75
186,34.75
187,34.75
188,34.75
189,34.75
190,34.77
191,34.77
192,34.77
193,34.77
194,34.77
195,34.77
196,34.77
197,34.77
198,34.75
199,34.75
200,34.75
201,34.75
202,34.77
203,34.77
204,34.77
205,34.77
206,34.75
207,34.75
208,34.75
209,34.75
210,34.75
211,34.75
212,34.75
213,34.75
214,34.77
215,34.77
216,34.77
217,34.77
218,34.75
219,34.75
220,34.75
221,34.75
222,34.75
223,34.75
224,34.75
225,34.75
226,34.75
227,34.75
228,34.75
229,34.75
230,34.77
231,34.77
232,34.77
233,34.77
234,34.77
235,34.77
236,34.77
237,34.77
238,34.77
239,34.77
240,34.77
241,34.77
242,34.79
243,34.79
244,34.79
245,34.79
246,34.75
247,34.75
248,34.75
249,34.75
250,34.75
251,34.75
252,34.75
253,34.75
254,34.75
255,34.75
256,34.75
257,34.75
258,34.77
259,34.77
260,34.77
261,34.77
262,34.79
263,34.79
264,34.79
265,34.79
266,34.79
267,34.79
268,34.79
269,34.79
270,34.77
271,34.77
272,34.77
273,34.77
274,34.79
275,34.79
276,34.79
277,34.79
278,34.79
279,34.79
280,34.79
281,34.79
282,34.79
283,34.79
284,34.79
285,34.79
286,34.79
287,34.79
288,34.79
289,34.79
290,34.77
291,34.77
292,34.77
293,34.77
