,EDA_wrist
0,2.779563
1,2.785958
2,2.761658
3,2.729684
4,2.693874
5,2.668295
6,2.67469
7,2.706663
8,2.782121
9,2.881879
10,2.994426
11,3.089067
12,3.141504
13,3.160688
14,3.181151
15,3.177315
16,3.17092
17,3.137667
18,3.090346
19,3.048141
20,2.996984
21,2.982915
22,2.968847
23,2.958615
24,2.979078
25,3.012331
26,3.032794
27,3.050699
28,3.072441
29,3.089067
30,3.101857
31,3.103136
32,3.101857
33,3.106973
34,3.092904
35,3.085231
36,3.059652
37,3.057094
38,3.043025
39,3.035352
40,3.02512
41,3.016168
42,3.007215
43,3.007215
44,3.007215
45,3.00082
46,2.995705
47,2.990589
48,2.982915
49,2.977799
50,2.972684
51,2.961173
52,2.949663
53,2.94071
54,2.941989
55,2.94071
56,2.922805
57,2.927921
58,2.935594
59,2.939431
60,2.938152
61,2.929199
62,2.938152
63,2.930478
64,2.926642
65,2.924084
66,2.915131
67,2.912573
68,2.902342
69,2.899784
70,2.89211
71,2.893389
72,2.886994
73,2.883157
74,2.876763
75,2.870368
76,2.875484
77,2.86781
78,2.863973
79,2.860137
80,2.857579
81,2.853742
82,2.844789
83,2.846068
84,2.839674
85,2.839674
86,2.839674
87,2.852463
88,2.858858
89,2.86781
90,2.870368
91,2.872926
92,2.872926
93,2.869089
94,2.866531
95,2.8563
96,2.8563
97,2.846068
98,2.844789
99,2.839674
100,2.830721
101,2.832
102,2.830721
103,2.840952
104,2.839674
105,2.86781
106,2.878042
107,2.930478
108,2.949663
109,2.927921
110,2.91641
111,2.883157
112,2.858858
113,2.846068
114,2.871647
115,2.875484
116,2.879321
117,2.9049
118,2.885715
119,2.849905
120,2.839674
121,2.844789
122,2.846068
123,2.847347
124,2.842231
125,2.839674
126,2.842231
127,2.839674
128,2.835837
129,2.832
130,2.825605
131,2.828163
132,2.820489
133,2.81921
134,2.817931
135,2.823047
136,2.815373
137,2.84351
138,2.872926
139,2.913852
140,2.922805
141,2.994426
142,3.022562
143,3.03791
144,3.057094
145,3.074999
146,3.147899
147,3.228472
148,3.346135
149,3.454845
150,3.520072
151,3.582366
152,3.624572
153,3.643756
154,3.620735
155,3.587482
156,3.555509
157,3.538882
158,3.574693
159,3.637361
160,3.83304
161,3.987792
162,4.099206
163,4.152922
164,4.197685
165,4.190012
166,4.170827
167,4.132459
168,4.067233
169,3.970033
170,3.88946
171,3.833186
172,3.761565
173,3.710408
174,3.669482
175,3.643903
176,3.602976
177,3.581234
178,3.560771
179,3.553097
180,3.539029
181,3.533913
182,3.523682
183,3.514729
184,3.505777
185,3.485313
186,3.481477
187,3.468687
188,3.467262
189,3.45703
190,3.451914
191,3.445519
192,3.430172
193,3.425056
194,3.412267
195,3.410988
196,3.385409
197,3.390525
198,3.380293
199,3.37262
200,3.363667
201,3.353436
202,3.34832
203,3.340646
204,3.334251
205,3.317625
206,3.317625
207,3.307394
208,3.306115
209,3.295883
210,3.285651
211,3.281815
212,3.272862
213,3.272862
214,3.284373
215,3.327857
216,3.326578
217,3.350878
218,3.354714
219,3.361109
220,3.357272
221,3.353436
222,3.338088
223,3.336809
224,3.321462
225,3.320183
226,3.261352
227,3.279257
228,3.398199
229,3.476214
230,3.501793
231,3.439125
232,3.247283
233,3.281815
234,3.19101
235,2.964637
236,2.98931
237,2.991868
238,2.979078
239,2.934315
240,2.886994
241,2.943268
242,3.032794
243,3.10953
244,3.138946
245,3.172199
246,3.17092
247,3.164525
248,3.160688
249,3.155573
250,3.156852
251,3.167083
252,3.186267
253,3.187546
254,3.181151
255,3.179873
256,3.077557
257,3.129994
258,3.119762
259,3.136388
260,3.106973
261,3.108252
262,3.184988
263,3.21952
264,3.270678
265,3.265562
266,3.213125
267,3.181151
268,3.137667
269,3.142783
270,3.153015
271,3.133831
272,3.123599
273,3.128715
274,3.218241
275,3.238704
276,3.21952
277,3.227193
278,3.224636
279,3.256609
280,3.220799
281,3.178594
282,3.129994
283,3.168362
284,3.11081
285,3.06221
286,3.067325
287,3.072441
288,3.082673
289,3.096741
290,3.119762
291,3.121041
292,3.126157
293,3.124878
294,3.127436
295,3.121041
296,3.112088
297,3.124878
298,3.12232
299,3.119762
300,3.112088
301,3.11081
302,3.099299
303,3.095462
304,3.076278
305,3.071162
306,3.039189
307,3.026399
308,3.027678
309,3.016168
310,3.009773
311,3.005936
312,3.009773
313,3.04942
314,3.11081
315,3.184988
316,3.220799
317,3.245099
318,3.271956
319,3.284746
320,3.287304
321,3.298814
322,3.309046
323,3.346135
324,3.497051
325,3.665498
326,3.840713
327,3.918729
328,3.963492
329,3.97387
330,3.975149
331,3.954686
332,3.903528
333,3.852371
334,3.76796
335,3.617045
336,3.56205
337,3.45334
338,3.285651
339,3.141131
340,3.155199
341,3.134736
342,3.138573
343,3.138573
344,3.160315
345,3.19101
346,3.194846
347,3.189731
348,3.128341
349,3.02091
350,2.978705
351,2.983821
352,2.971031
353,2.98931
354,3.008494
355,3.041747
356,3.034073
357,3.007215
358,2.988031
359,2.979078
360,2.984194
361,2.970126
362,2.967568
363,2.961173
364,2.991868
365,3.01361
366,3.021283
367,3.036631
368,3.044304
369,3.053257
370,3.064768
371,3.068604
372,3.060931
373,3.03791
374,3.014889
375,3.012331
376,3.02512
377,3.069883
378,3.072441
379,3.080115
380,3.077557
381,3.074999
382,2.990589
383,2.911294
384,2.86781
385,2.852463
386,2.838394
387,2.814095
388,2.797468
389,2.7834
390,2.778284
391,2.773168
392,2.762937
393,2.762937
394,2.753984
395,2.755263
396,2.745032
397,2.750147
398,2.748868
399,2.741195
400,2.736079
401,2.730963
402,2.730963
403,2.724568
404,2.729684
405,2.728405
406,2.743753
407,2.74631
408,2.729684
409,2.705384
410,2.672132
411,2.652948
412,2.635042
413,2.618416
414,2.605627
415,2.605627
416,2.60179
417,2.608185
418,2.604348
419,2.600511
420,2.612021
421,2.622253
422,2.622253
423,2.632484
424,2.677248
425,2.766774
426,2.901063
427,3.054536
428,3.200336
429,3.324393
430,3.403688
431,3.448451
432,3.466356
433,3.455751
434,3.434009
435,3.393083
436,3.347041
437,3.307394
438,3.261352
439,3.220425
440,3.180778
441,3.171825
442,3.130899
443,3.10532
444,3.098926
445,3.073347
446,3.005563
447,2.965915
448,2.971405
449,2.986752
450,2.922805
451,2.876763
452,2.797468
453,2.697711
454,2.6619
455,2.638879
456,2.623532
457,2.649111
458,2.785958
459,2.903621
460,3.017447
461,3.183709
462,3.314162
463,3.438219
464,3.568671
465,3.762697
466,3.903381
467,3.949423
468,3.948144
469,3.964771
470,3.941896
471,3.82807
472,3.775634
473,3.761565
474,3.702734
475,3.638787
476,3.588908
477,3.549261
478,3.495545
479,3.437993
480,3.34832
481,3.281815
482,3.231936
483,3.184615
484,3.156478
485,3.15392
486,3.156478
487,3.139852
488,3.130899
489,3.123226
490,3.112994
491,3.104042
492,3.09381
493,3.08102
494,3.078463
495,3.077184
496,3.061836
497,3.055442
498,3.04521
499,3.037536
500,3.036258
501,3.031142
502,3.018352
503,3.008121
504,3.011957
505,3.028584
506,3.072068
507,3.111715
508,3.133457
509,3.151362
510,3.151362
511,3.155199
512,3.150084
513,3.137294
514,3.125783
515,3.109157
516,3.106599
517,3.092531
518,3.089973
519,3.082299
520,3.078463
521,3.075905
522,3.072068
523,3.072068
524,3.059278
525,3.040094
526,3.032421
527,3.0094
528,2.995331
529,2.979984
530,2.973589
531,2.982915
532,2.971405
533,2.984194
534,2.986752
535,2.986752
536,2.96501
537,2.966289
538,2.967568
539,2.962452
540,2.958615
541,2.95222
542,2.954778
543,2.948384
544,2.944547
545,2.944547
546,2.938152
547,2.939431
548,2.931757
549,2.935594
550,2.929199
551,2.925363
552,2.947105
553,2.982915
554,3.026399
555,3.060931
556,3.09802
557,3.147899
558,3.229751
559,3.319277
560,3.407524
561,3.472751
562,3.504351
563,3.540161
564,3.57853
565,3.572135
566,3.536325
567,3.503072
568,3.45703
569,3.414825
570,3.373899
571,3.352157
572,3.318904
573,3.306115
574,3.284373
575,3.270304
576,3.256236
577,3.244725
578,3.238331
579,3.222983
580,3.212752
581,3.197404
582,3.193568
583,3.175662
584,3.173105
585,3.164152
586,3.157757
587,3.148804
588,3.139852
589,3.134736
590,3.128341
591,3.12962
592,3.104042
593,3.102762
594,3.082299
595,3.08102
596,3.088694
597,3.079741
598,3.070789
599,3.065673
600,3.05672
601,3.049047
602,3.040094
603,3.037536
604,3.031142
605,3.027305
606,3.028584
607,3.028584
608,3.036258
609,3.042652
610,3.04521
611,3.038815
612,3.0337
613,3.028584
614,3.017073
615,3.014515
616,2.988936
617,2.999168
618,2.991494
619,2.992773
620,2.987658
621,2.983821
622,2.979984
623,2.971031
624,2.986752
625,2.975241
626,2.975241
627,2.968847
628,2.930478
629,2.89211
630,2.872926
631,2.870368
632,2.852463
633,2.853742
634,2.848626
635,2.848626
636,2.849905
637,2.860137
638,2.871647
639,2.86781
640,2.885715
641,2.881879
642,2.886994
643,2.883157
644,2.897226
645,2.926642
646,2.972684
647,3.008494
648,3.035352
649,3.054536
650,3.086509
651,3.11081
652,3.11081
653,3.108252
654,3.11081
655,3.100578
656,3.077557
657,3.072441
658,3.106973
659,3.19522
660,3.344856
661,3.517514
662,3.705145
663,3.870129
664,3.980118
665,4.039096
666,4.067233
667,4.049328
668,4.004565
669,3.936781
670,3.860044
671,3.76796
672,3.712965
673,3.682271
674,3.641345
675,3.637508
676,3.645181
677,3.63495
678,3.62216
679,3.602976
680,3.579955
681,3.542866
682,3.505777
683,3.484035
684,3.468687
685,3.46854
686,3.450635
687,3.441683
688,3.427614
689,3.417383
690,3.416104
691,3.395641
692,3.400756
693,3.440404
694,3.524814
695,3.616898
696,3.685961
697,3.761419
698,3.807461
699,3.830482
700,3.826645
701,3.816413
702,3.770371
703,3.738398
704,3.646314
705,3.591319
706,3.610503
707,3.579808
708,3.558067
709,3.536325
710,3.520977
711,3.508188
712,3.480051
713,3.460867
714,3.453193
715,3.441683
716,3.431451
717,3.426335
