,ACC_wrist_x,ACC_wrist_y,ACC_wrist_z
0,62.0,-21.0,107.0
1,66.0,13.0,53.0
2,41.0,9.0,15.0
3,52.0,16.0,24.0
4,54.0,15.0,34.0
5,51.0,16.0,37.0
6,49.0,14.0,45.0
7,49.0,15.0,34.0
8,51.0,16.0,35.0
9,45.0,15.0,26.0
10,51.0,17.0,15.0
11,63.0,26.0,1.0
12,61.0,24.0,-16.0
13,78.0,25.0,-36.0
14,81.0,24.0,-16.0
15,70.0,25.0,-8.0
16,53.0,21.0,-6.0
17,41.0,11.0,20.0
18,49.0,5.0,26.0
19,-3.0,-43.0,127.0
20,44.0,-7.0,44.0
21,57.0,19.0,7.0
22,64.0,24.0,44.0
23,51.0,18.0,42.0
24,55.0,17.0,34.0
25,56.0,19.0,34.0
26,47.0,16.0,38.0
27,46.0,14.0,42.0
28,51.0,14.0,44.0
29,40.0,17.0,44.0
30,49.0,19.0,40.0
31,46.0,21.0,26.0
32,48.0,24.0,15.0
33,50.0,24.0,7.0
34,53.0,26.0,-5.0
35,59.0,27.0,-15.0
36,62.0,26.0,-8.0
37,60.0,25.0,-12.0
38,59.0,21.0,-11.0
39,56.0,18.0,17.0
40,57.0,17.0,22.0
41,54.0,-32.0,127.0
42,92.0,34.0,28.0
43,65.0,23.0,16.0
44,60.0,22.0,34.0
45,56.0,16.0,36.0
46,54.0,17.0,26.0
47,47.0,16.0,29.0
48,48.0,16.0,30.0
49,56.0,19.0,34.0
50,54.0,16.0,33.0
51,44.0,18.0,27.0
52,57.0,15.0,39.0
53,62.0,15.0,44.0
54,49.0,18.0,40.0
55,41.0,15.0,43.0
56,42.0,10.0,59.0
57,45.0,12.0,50.0
58,54.0,11.0,30.0
59,65.0,14.0,15.0
60,60.0,21.0,5.0
61,56.0,22.0,14.0
62,62.0,22.0,11.0
63,57.0,22.0,6.0
64,58.0,25.0,3.0
65,62.0,25.0,7.0
66,47.0,27.0,4.0
67,51.0,26.0,23.0
68,49.0,24.0,27.0
69,46.0,23.0,21.0
70,60.0,23.0,24.0
71,60.0,23.0,24.0
72,53.0,23.0,21.0
73,56.0,23.0,26.0
74,54.0,22.0,26.0
75,52.0,22.0,27.0
76,54.0,22.0,27.0
77,55.0,21.0,24.0
78,53.0,21.0,23.0
79,55.0,22.0,25.0
80,53.0,22.0,24.0
81,53.0,22.0,24.0
82,54.0,22.0,24.0
83,54.0,21.0,25.0
84,54.0,21.0,27.0
85,53.0,21.0,25.0
86,53.0,20.0,26.0
87,53.0,20.0,26.0
88,54.0,21.0,26.0
89,53.0,21.0,25.0
90,54.0,22.0,26.0
91,55.0,21.0,26.0
92,53.0,21.0,26.0
93,56.0,22.0,28.0
94,53.0,21.0,25.0
95,54.0,21.0,26.0
96,54.0,21.0,26.0
97,53.0,20.0,27.0
98,52.0,20.0,27.0
99,53.0,20.0,29.0
100,54.0,20.0,27.0
101,54.0,19.0,27.0
102,54.0,21.0,27.0
103,54.0,21.0,27.0
104,53.0,21.0,25.0
105,55.0,21.0,28.0
106,55.0,21.0,28.0
107,54.0,20.0,27.0
108,53.0,20.0,28.0
109,53.0,20.0,29.0
110,52.0,20.0,27.0
111,53.0,20.0,28.0
112,54.0,21.0,28.0
113,53.0,21.0,24.0
114,53.0,21.0,26.0
115,54.0,21.0,27.0
116,54.0,21.0,26.0
117,53.0,21.0,27.0
118,53.0,21.0,28.0
119,54.0,21.0,28.0
120,53.0,21.0,26.0
121,54.0,20.0,28.0
122,53.0,20.0,27.0
123,53.0,21.0,26.0
124,54.0,20.0,28.0
125,53.0,20.0,28.0
126,53.0,20.0,28.0
127,52.0,20.0,27.0
128,53.0,20.0,28.0
129,54.0,21.0,28.0
130,54.0,21.0,25.0
131,55.0,21.0,27.0
132,55.0,21.0,26.0
133,54.0,21.0,25.0
134,54.0,20.0,28.0
135,54.0,20.0,27.0
136,53.0,20.0,26.0
137,53.0,20.0,28.0
138,54.0,20.0,28.0
139,53.0,19.0,26.0
140,54.0,20.0,28.0
141,53.0,19.0,27.0
142,53.0,19.0,28.0
143,52.0,19.0,28.0
144,54.0,20.0,27.0
145,53.0,20.0,27.0
146,55.0,21.0,27.0
147,54.0,21.0,26.0
148,55.0,21.0,26.0
149,54.0,21.0,26.0
150,54.0,21.0,27.0
151,53.0,21.0,26.0
152,54.0,21.0,27.0
153,54.0,20.0,27.0
154,54.0,21.0,27.0
155,54.0,20.0,27.0
156,54.0,20.0,27.0
157,55.0,20.0,27.0
158,52.0,20.0,25.0
159,54.0,20.0,26.0
160,53.0,20.0,27.0
161,54.0,20.0,26.0
162,53.0,20.0,27.0
163,54.0,19.0,27.0
164,54.0,20.0,27.0
165,53.0,20.0,27.0
166,53.0,20.0,27.0
167,54.0,20.0,27.0
168,52.0,20.0,27.0
169,53.0,20.0,28.0
170,53.0,21.0,27.0
171,54.0,21.0,27.0
172,54.0,20.0,27.0
173,55.0,21.0,27.0
174,53.0,21.0,26.0
175,54.0,21.0,28.0
176,55.0,21.0,27.0
177,54.0,21.0,26.0
178,54.0,20.0,27.0
179,53.0,20.0,27.0
180,53.0,20.0,27.0
181,54.0,20.0,28.0
182,53.0,20.0,27.0
183,54.0,20.0,27.0
184,54.0,20.0,26.0
185,53.0,20.0,26.0
186,53.0,20.0,26.0
187,54.0,20.0,27.0
188,54.0,20.0,27.0
189,53.0,20.0,27.0
190,54.0,20.0,27.0
191,54.0,20.0,27.0
192,53.0,20.0,26.0
193,54.0,20.0,27.0
194,54.0,20.0,27.0
195,55.0,20.0,27.0
196,55.0,20.0,27.0
197,54.0,20.0,27.0
198,55.0,20.0,26.0
199,54.0,20.0,26.0
200,54.0,20.0,26.0
201,54.0,20.0,26.0
202,53.0,20.0,26.0
203,54.0,20.0,28.0
204,54.0,19.0,27.0
205,53.0,19.0,26.0
206,53.0,19.0,27.0
207,54.0,19.0,27.0
208,53.0,19.0,26.0
209,53.0,19.0,27.0
210,53.0,19.0,27.0
211,53.0,19.0,27.0
212,54.0,19.0,27.0
213,55.0,20.0,27.0
214,54.0,20.0,26.0
215,55.0,21.0,26.0
216,54.0,20.0,27.0
217,54.0,21.0,27.0
218,54.0,20.0,26.0
219,54.0,20.0,27.0
220,54.0,20.0,26.0
221,54.0,20.0,26.0
222,54.0,20.0,26.0
223,54.0,20.0,26.0
224,54.0,20.0,26.0
225,55.0,21.0,27.0
226,54.0,20.0,27.0
227,54.0,20.0,27.0
228,55.0,19.0,27.0
229,55.0,20.0,27.0
230,53.0,20.0,26.0
231,53.0,20.0,26.0
232,53.0,20.0,26.0
233,53.0,20.0,26.0
234,53.0,20.0,26.0
235,54.0,20.0,27.0
236,54.0,20.0,27.0
237,54.0,20.0,27.0
238,54.0,20.0,27.0
239,54.0,20.0,27.0
240,54.0,21.0,26.0
241,53.0,20.0,27.0
242,54.0,20.0,27.0
243,54.0,20.0,27.0
244,55.0,20.0,27.0
245,55.0,21.0,27.0
246,54.0,21.0,27.0
247,55.0,21.0,26.0
248,54.0,21.0,27.0
249,53.0,20.0,26.0
250,53.0,20.0,26.0
251,54.0,20.0,27.0
252,53.0,20.0,25.0
253,53.0,20.0,26.0
254,54.0,20.0,27.0
255,53.0,20.0,26.0
256,53.0,20.0,26.0
257,54.0,20.0,27.0
258,53.0,20.0,27.0
259,54.0,20.0,27.0
260,55.0,20.0,27.0
261,54.0,20.0,26.0
262,54.0,20.0,26.0
263,54.0,20.0,27.0
264,54.0,20.0,27.0
265,54.0,20.0,26.0
266,53.0,20.0,26.0
267,55.0,20.0,26.0
268,54.0,21.0,26.0
269,54.0,21.0,26.0
270,55.0,21.0,26.0
271,55.0,21.0,26.0
272,54.0,20.0,26.0
273,54.0,20.0,26.0
274,54.0,20.0,27.0
275,54.0,20.0,27.0
276,54.0,19.0,27.0
277,53.0,20.0,26.0
278,54.0,20.0,27.0
279,53.0,20.0,26.0
280,54.0,20.0,26.0
281,53.0,20.0,26.0
282,53.0,20.0,26.0
283,54.0,20.0,26.0
284,55.0,21.0,27.0
285,54.0,20.0,27.0
286,53.0,20.0,27.0
287,54.0,20.0,27.0
288,54.0,20.0,26.0
289,53.0,20.0,25.0
290,54.0,20.0,26.0
291,54.0,20.0,26.0
292,54.0,20.0,26.0
293,54.0,20.0,26.0
294,54.0,20.0,26.0
295,54.0,20.0,26.0
296,55.0,20.0,26.0
297,55.0,20.0,26.0
298,56.0,20.0,27.0
299,54.0,20.0,27.0
300,54.0,20.0,27.0
301,53.0,20.0,26.0
302,54.0,20.0,26.0
303,54.0,20.0,26.0
304,53.0,19.0,26.0
305,53.0,20.0,26.0
306,54.0,20.0,27.0
307,54.0,21.0,27.0
308,53.0,20.0,26.0
309,54.0,20.0,27.0
310,53.0,21.0,26.0
311,53.0,20.0,26.0
312,54.0,20.0,27.0
313,54.0,21.0,27.0
314,54.0,20.0,26.0
315,55.0,20.0,27.0
316,54.0,20.0,27.0
317,54.0,20.0,26.0
318,54.0,21.0,27.0
319,53.0,21.0,26.0
320,53.0,20.0,27.0
321,54.0,20.0,26.0
322,55.0,20.0,26.0
323,55.0,21.0,27.0
324,55.0,21.0,27.0
325,55.0,20.0,27.0
326,55.0,20.0,27.0
327,53.0,20.0,26.0
328,53.0,20.0,27.0
329,53.0,20.0,27.0
330,53.0,20.0,26.0
331,52.0,19.0,26.0
332,52.0,19.0,26.0
333,53.0,19.0,26.0
334,52.0,19.0,25.0
335,53.0,20.0,26.0
336,53.0,19.0,25.0
337,52.0,18.0,25.0
338,53.0,19.0,26.0
339,51.0,18.0,24.0
340,48.0,17.0,23.0
341,49.0,14.0,26.0
342,48.0,13.0,25.0
343,44.0,9.0,22.0
344,46.0,11.0,25.0
345,46.0,8.0,25.0
346,43.0,3.0,19.0
347,48.0,3.0,23.0
348,52.0,1.0,21.0
349,52.0,-2.0,12.0
350,52.0,-3.0,12.0
351,61.0,-3.0,17.0
352,63.0,-6.0,16.0
353,48.0,-13.0,1.0
354,60.0,-14.0,6.0
355,54.0,-19.0,1.0
356,49.0,-24.0,-6.0
357,51.0,-27.0,-4.0
358,52.0,-30.0,-9.0
359,49.0,-41.0,-12.0
360,55.0,-46.0,-4.0
361,57.0,-52.0,-4.0
362,53.0,-55.0,-13.0
363,53.0,-66.0,5.0
364,50.0,-76.0,5.0
365,52.0,-70.0,6.0
366,31.0,-65.0,-1.0
367,28.0,-69.0,-2.0
368,46.0,-68.0,18.0
369,27.0,-67.0,13.0
370,13.0,-66.0,10.0
371,18.0,-64.0,18.0
372,7.0,-64.0,18.0
373,3.0,-68.0,26.0
374,10.0,-70.0,37.0
375,19.0,-65.0,30.0
376,19.0,-64.0,17.0
377,13.0,-64.0,5.0
378,9.0,-63.0,3.0
379,12.0,-63.0,2.0
380,12.0,-62.0,-2.0
381,15.0,-59.0,1.0
382,13.0,-60.0,-1.0
383,13.0,-60.0,-1.0
384,13.0,-61.0,1.0
385,12.0,-61.0,1.0
386,16.0,-60.0,2.0
387,12.0,-61.0,1.0
388,12.0,-61.0,1.0
389,12.0,-62.0,3.0
390,10.0,-63.0,2.0
391,8.0,-62.0,1.0
392,11.0,-63.0,5.0
393,10.0,-62.0,4.0
394,10.0,-62.0,6.0
395,11.0,-62.0,8.0
396,10.0,-62.0,6.0
397,7.0,-63.0,8.0
398,7.0,-63.0,8.0
399,12.0,-58.0,0.0
400,17.0,-61.0,8.0
401,13.0,-61.0,7.0
402,10.0,-61.0,4.0
403,11.0,-61.0,7.0
404,10.0,-60.0,5.0
405,11.0,-60.0,3.0
406,14.0,-60.0,6.0
407,13.0,-61.0,5.0
408,11.0,-61.0,2.0
409,12.0,-61.0,3.0
410,12.0,-62.0,3.0
411,12.0,-61.0,3.0
412,13.0,-61.0,3.0
413,13.0,-61.0,3.0
414,14.0,-62.0,3.0
415,15.0,-63.0,4.0
416,13.0,-64.0,3.0
417,12.0,-65.0,3.0
418,13.0,-65.0,3.0
419,12.0,-65.0,3.0
420,13.0,-66.0,3.0
421,15.0,-65.0,4.0
422,14.0,-65.0,4.0
423,15.0,-64.0,4.0
424,12.0,-61.0,3.0
425,13.0,-61.0,4.0
426,17.0,-60.0,6.0
427,19.0,-59.0,7.0
428,20.0,-59.0,7.0
429,20.0,-59.0,8.0
430,21.0,-58.0,9.0
431,21.0,-58.0,10.0
432,19.0,-59.0,10.0
433,17.0,-59.0,10.0
434,15.0,-60.0,9.0
435,15.0,-60.0,9.0
436,15.0,-58.0,10.0
437,14.0,-59.0,10.0
438,14.0,-60.0,10.0
439,13.0,-60.0,9.0
440,13.0,-59.0,10.0
441,12.0,-60.0,10.0
442,11.0,-60.0,10.0
443,11.0,-61.0,11.0
444,11.0,-61.0,11.0
445,11.0,-61.0,12.0
446,11.0,-62.0,12.0
447,11.0,-62.0,12.0
448,10.0,-63.0,12.0
449,9.0,-63.0,13.0
450,8.0,-63.0,13.0
451,7.0,-62.0,12.0
452,7.0,-61.0,13.0
453,7.0,-62.0,13.0
454,7.0,-62.0,13.0
455,8.0,-62.0,13.0
456,8.0,-62.0,13.0
457,8.0,-61.0,14.0
458,8.0,-61.0,15.0
459,9.0,-60.0,15.0
460,10.0,-59.0,15.0
461,10.0,-58.0,15.0
462,11.0,-58.0,15.0
463,11.0,-58.0,15.0
464,12.0,-58.0,14.0
465,13.0,-58.0,14.0
466,13.0,-58.0,14.0
467,14.0,-57.0,15.0
468,14.0,-57.0,16.0
469,14.0,-56.0,16.0
470,12.0,-56.0,16.0
471,12.0,-56.0,16.0
472,12.0,-56.0,16.0
473,12.0,-60.0,17.0
474,13.0,-63.0,18.0
475,13.0,-69.0,18.0
476,11.0,-66.0,16.0
477,11.0,-60.0,13.0
478,10.0,-62.0,11.0
479,10.0,-62.0,10.0
480,9.0,-61.0,7.0
481,11.0,-61.0,7.0
