,TEMP_wrist
0,35.41
1,35.41
2,35.41
3,35.41
4,35.41
5,35.41
6,35.41
7,35.41
8,35.41
9,35.41
10,35.41
11,35.41
12,35.41
13,35.41
14,35.41
15,35.41
16,35.43
17,35.43
18,35.43
19,35.43
20,35.41
21,35.41
22,35.41
23,35.41
24,35.43
25,35.43
26,35.43
27,35.43
28,35.41
29,35.41
30,35.41
31,35.41
32,35.45
33,35.45
34,35.45
35,35.45
36,35.41
37,35.41
38,35.41
39,35.41
40,35.43
41,35.43
42,35.43
43,35.43
44,35.45
45,35.45
46,35.45
47,35.45
48,35.43
49,35.43
50,35.43
51,35.43
52,35.41
53,35.41
54,35.41
55,35.41
56,35.41
57,35.41
58,35.41
59,35.41
60,35.43
61,35.43
62,35.43
63,35.43
64,35.45
65,35.45
66,35.45
67,35.45
68,35.43
69,35.43
70,35.43
71,35.43
72,35.45
73,35.45
74,35.45
75,35.45
76,35.43
77,35.43
78,35.43
79,35.43
80,35.41
81,35.41
82,35.41
83,35.41
84,35.41
85,35.41
86,35.41
87,35.41
88,35.43
89,35.43
90,35.43
91,35.43
92,35.41
93,35.41
94,35.41
95,35.41
96,35.45
97,35.45
98,35.45
99,35.45
100,35.43
101,35.43
102,35.43
103,35.43
104,35.43
105,35.43
106,35.43
107,35.43
108,35.45
109,35.45
110,35.45
111,35.45
112,35.43
113,35.43
114,35.43
115,35.43
116,35.43
117,35.43
118,35.43
119,35.43
120,35.43
121,35.43
122,35.43
123,35.43
124,35.47
125,35.47
126,35.47
127,35.47
128,35.45
129,35.45
130,35.45
131,35.45
132,35.45
133,35.45
134,35.45
135,35.45
136,35.45
137,35.45
138,35.45
139,35.45
140,35.49
141,35.49
142,35.49
143,35.49
144,35.47
145,35.47
146,35.47
147,35.47
148,35.47
149,35.47
150,35.47
151,35.47
152,35.49
153,35.49
154,35.49
155,35.49
156,35.47
157,35.47
158,35.47
159,35.47
160,35.45
161,35.45
162,35.45
163,35.45
164,35.49
165,35.49
166,35.49
167,35.49
168,35.47
169,35.47
170,35.47
171,35.47
172,35.5
173,35.5
174,35.5
175,35.5
176,35.49
177,35.49
178,35.49
179,35.49
180,35.49
181,35.49
182,35.49
183,35.49
184,35.5
185,35.5
186,35.5
187,35.5
188,35.5
189,35.5
190,35.5
191,35.5
192,35.5
193,35.5
194,35.5
195,35.5
196,35.53
197,35.53
198,35.53
199,35.53
200,35.53
201,35.53
202,35.53
203,35.53
204,35.53
205,35.53
206,35.53
207,35.53
208,35.53
209,35.53
210,35.53
211,35.53
212,35.5
213,35.5
214,35.5
215,35.5
216,35.53
217,35.53
218,35.53
219,35.53
220,35.55
221,35.55
222,35.55
223,35.55
224,35.53
225,35.53
226,35.53
227,35.53
228,35.53
229,35.53
230,35.53
231,35.53
232,35.55
233,35.55
234,35.55
235,35.55
236,35.53
237,35.53
238,35.53
239,35.53
240,35.53
241,35.53
242,35.53
243,35.53
244,35.55
245,35.55
246,35.55
247,35.55
248,35.55
249,35.55
250,35.55
251,35.55
252,35.55
253,35.55
254,35.55
255,35.55
256,35.57
257,35.57
258,35.57
259,35.57
260,35.55
261,35.55
262,35.55
263,35.55
264,35.55
265,35.55
266,35.55
267,35.55
268,35.57
269,35.57
270,35.57
271,35.57
272,35.57
273,35.57
274,35.57
275,35.57
276,35.59
277,35.59
278,35.59
279,35.59
280,35.57
281,35.57
282,35.57
283,35.57
284,35.55
285,35.55
286,35.55
287,35.55
288,35.57
289,35.57
290,35.57
291,35.57
292,35.57
293,35.57
294,35.57
295,35.57
296,35.53
297,35.53
298,35.53
299,35.53
300,35.53
301,35.53
302,35.53
303,35.53
304,35.53
305,35.53
306,35.53
307,35.53
308,35.55
309,35.55
310,35.55
311,35.55
312,35.5
313,35.5
314,35.5
315,35.5
316,35.53
317,35.53
318,35.53
319,35.53
320,35.53
321,35.53
322,35.53
323,35.53
324,35.55
325,35.55
326,35.55
327,35.55
328,35.49
329,35.49
330,35.49
331,35.49
332,35.5
333,35.5
334,35.5
335,35.5
336,35.5
337,35.5
338,35.5
