,ACC_wrist_x,ACC_wrist_y,ACC_wrist_z
0,-7.0,-15.0,-34.0
1,-38.0,127.0,127.0
2,127.0,-48.0,127.0
3,58.0,-15.0,60.0
4,42.0,-19.0,64.0
5,25.0,-26.0,52.0
6,34.0,-22.0,-11.0
7,57.0,-28.0,-36.0
8,50.0,-41.0,-128.0
9,50.0,-27.0,-128.0
10,63.0,12.0,-39.0
11,123.0,-28.0,126.0
12,56.0,-30.0,-5.0
13,30.0,-13.0,71.0
14,-2.0,-2.0,106.0
15,4.0,-7.0,74.0
16,51.0,-6.0,30.0
17,66.0,-20.0,16.0
18,60.0,-25.0,9.0
19,47.0,-33.0,23.0
20,45.0,-31.0,21.0
21,34.0,-32.0,25.0
22,42.0,-33.0,29.0
23,41.0,-31.0,38.0
24,36.0,-31.0,38.0
25,41.0,-30.0,42.0
26,37.0,-25.0,50.0
27,32.0,-26.0,43.0
28,37.0,-25.0,46.0
29,33.0,-23.0,50.0
30,33.0,-24.0,47.0
31,34.0,-25.0,46.0
32,32.0,-25.0,49.0
33,34.0,-26.0,48.0
34,32.0,-25.0,47.0
35,33.0,-25.0,48.0
36,32.0,-24.0,47.0
37,33.0,-24.0,47.0
38,32.0,-23.0,47.0
39,32.0,-22.0,47.0
40,33.0,-22.0,48.0
41,35.0,-22.0,48.0
42,33.0,-23.0,49.0
43,34.0,-23.0,48.0
44,33.0,-23.0,47.0
45,34.0,-23.0,48.0
46,33.0,-23.0,49.0
47,33.0,-23.0,49.0
48,34.0,-23.0,49.0
49,33.0,-23.0,48.0
50,33.0,-22.0,48.0
51,33.0,-23.0,48.0
52,33.0,-22.0,48.0
53,33.0,-22.0,48.0
54,32.0,-23.0,47.0
55,32.0,-23.0,47.0
56,32.0,-23.0,48.0
57,32.0,-23.0,48.0
58,32.0,-22.0,49.0
59,32.0,-23.0,49.0
60,32.0,-22.0,49.0
61,33.0,-23.0,49.0
62,33.0,-23.0,48.0
63,34.0,-23.0,49.0
64,33.0,-23.0,48.0
65,33.0,-23.0,48.0
66,33.0,-23.0,48.0
67,32.0,-23.0,48.0
68,33.0,-23.0,48.0
69,32.0,-22.0,48.0
70,32.0,-22.0,49.0
71,32.0,-22.0,49.0
72,32.0,-22.0,49.0
73,32.0,-22.0,49.0
74,32.0,-22.0,49.0
75,32.0,-22.0,49.0
76,31.0,-22.0,48.0
77,32.0,-22.0,49.0
78,32.0,-21.0,49.0
79,33.0,-22.0,50.0
80,32.0,-22.0,50.0
81,32.0,-21.0,49.0
82,32.0,-21.0,49.0
83,32.0,-21.0,49.0
84,32.0,-21.0,49.0
85,32.0,-21.0,49.0
86,32.0,-21.0,48.0
87,32.0,-21.0,49.0
88,33.0,-21.0,49.0
89,33.0,-21.0,49.0
90,33.0,-21.0,49.0
91,34.0,-21.0,49.0
92,33.0,-21.0,49.0
93,33.0,-21.0,49.0
94,33.0,-21.0,49.0
95,32.0,-20.0,49.0
96,33.0,-20.0,49.0
97,32.0,-21.0,49.0
98,32.0,-21.0,49.0
99,33.0,-21.0,49.0
100,32.0,-21.0,49.0
101,32.0,-21.0,49.0
102,33.0,-21.0,49.0
103,32.0,-21.0,49.0
104,32.0,-21.0,49.0
105,33.0,-21.0,49.0
106,33.0,-21.0,49.0
107,33.0,-21.0,49.0
108,33.0,-21.0,49.0
109,33.0,-20.0,49.0
110,33.0,-21.0,49.0
111,33.0,-21.0,49.0
112,32.0,-20.0,49.0
113,32.0,-21.0,49.0
114,33.0,-21.0,49.0
