,ACC_wrist_x,ACC_wrist_y,ACC_wrist_z
0,-23.0,31.0,127.0
1,-128.0,-31.0,62.0
2,-54.0,-58.0,26.0
3,-16.0,-37.0,39.0
4,-22.0,-38.0,35.0
5,-37.0,-34.0,48.0
6,-33.0,-33.0,53.0
7,-30.0,-28.0,52.0
8,-38.0,-29.0,40.0
9,-38.0,-30.0,25.0
10,-43.0,-34.0,3.0
11,-49.0,-39.0,-5.0
12,-56.0,-43.0,-16.0
13,-54.0,-49.0,-27.0
14,-51.0,-49.0,-25.0
15,-48.0,-50.0,-4.0
16,-35.0,-52.0,2.0
17,-71.0,-42.0,-43.0
18,-37.0,-37.0,-21.0
19,-61.0,-41.0,-65.0
20,-77.0,46.0,127.0
21,18.0,52.0,127.0
22,-23.0,-93.0,-4.0
23,-26.0,-53.0,24.0
24,-30.0,-31.0,35.0
25,-27.0,-41.0,28.0
26,-30.0,-36.0,27.0
27,-52.0,-25.0,47.0
28,-51.0,-32.0,41.0
29,-42.0,-35.0,28.0
30,-54.0,-38.0,9.0
31,-51.0,-46.0,4.0
32,-45.0,-45.0,13.0
33,-49.0,-41.0,11.0
34,-44.0,-46.0,2.0
35,-38.0,-43.0,13.0
36,-43.0,-45.0,14.0
37,-45.0,-46.0,10.0
38,-43.0,-47.0,14.0
39,-44.0,-46.0,13.0
40,-45.0,-46.0,9.0
41,-43.0,-46.0,11.0
42,-44.0,-45.0,13.0
43,-48.0,-46.0,12.0
44,-43.0,-46.0,12.0
45,-45.0,-45.0,13.0
46,-47.0,-45.0,11.0
47,-44.0,-44.0,11.0
48,-42.0,-45.0,12.0
49,-46.0,-45.0,12.0
50,-42.0,-46.0,11.0
51,-40.0,-46.0,13.0
52,-46.0,-46.0,12.0
53,-44.0,-46.0,12.0
54,-42.0,-46.0,13.0
55,-45.0,-46.0,12.0
56,-45.0,-45.0,13.0
57,-44.0,-44.0,13.0
58,-44.0,-45.0,13.0
59,-45.0,-44.0,13.0
60,-43.0,-44.0,13.0
61,-42.0,-45.0,14.0
62,-45.0,-45.0,12.0
63,-44.0,-46.0,11.0
64,-43.0,-45.0,13.0
65,-43.0,-46.0,12.0
66,-42.0,-46.0,13.0
67,-42.0,-46.0,13.0
68,-43.0,-46.0,13.0
69,-42.0,-46.0,12.0
70,-41.0,-47.0,14.0
71,-42.0,-45.0,14.0
72,-43.0,-47.0,12.0
73,-42.0,-46.0,13.0
74,-42.0,-46.0,13.0
75,-43.0,-46.0,12.0
76,-42.0,-46.0,12.0
77,-42.0,-47.0,13.0
78,-43.0,-47.0,13.0
79,-42.0,-47.0,13.0
80,-43.0,-46.0,13.0
81,-43.0,-46.0,12.0
82,-41.0,-46.0,13.0
83,-41.0,-46.0,13.0
84,-43.0,-47.0,12.0
85,-42.0,-46.0,12.0
86,-42.0,-47.0,12.0
87,-43.0,-47.0,12.0
88,-43.0,-46.0,12.0
89,-42.0,-46.0,13.0
90,-42.0,-47.0,13.0
91,-42.0,-46.0,12.0
92,-42.0,-47.0,12.0
93,-42.0,-46.0,13.0
94,-42.0,-47.0,12.0
95,-42.0,-47.0,12.0
96,-42.0,-46.0,12.0
97,-42.0,-47.0,13.0
98,-42.0,-47.0,13.0
99,-42.0,-47.0,12.0
100,-41.0,-46.0,12.0
101,-42.0,-47.0,13.0
102,-42.0,-47.0,12.0
103,-41.0,-46.0,13.0
104,-43.0,-47.0,12.0
105,-42.0,-46.0,12.0
106,-41.0,-47.0,12.0
107,-42.0,-47.0,13.0
108,-41.0,-47.0,12.0
109,-42.0,-47.0,12.0
110,-42.0,-47.0,13.0
111,-43.0,-47.0,12.0
112,-41.0,-46.0,13.0
113,-43.0,-47.0,12.0
114,-42.0,-47.0,12.0
115,-41.0,-47.0,12.0
116,-41.0,-47.0,13.0
117,-42.0,-47.0,12.0
118,-41.0,-47.0,13.0
119,-41.0,-48.0,12.0
120,-41.0,-46.0,13.0
121,-41.0,-47.0,12.0
122,-42.0,-47.0,13.0
123,-41.0,-47.0,12.0
124,-42.0,-46.0,13.0
125,-42.0,-47.0,13.0
126,-41.0,-47.0,13.0
127,-41.0,-47.0,12.0
128,-41.0,-47.0,12.0
129,-42.0,-47.0,12.0
130,-42.0,-47.0,12.0
131,-41.0,-48.0,13.0
132,-42.0,-47.0,12.0
133,-42.0,-47.0,13.0
134,-42.0,-47.0,13.0
135,-42.0,-47.0,13.0
136,-41.0,-47.0,12.0
137,-42.0,-47.0,12.0
138,-41.0,-47.0,12.0
139,-42.0,-47.0,13.0
140,-41.0,-47.0,13.0
141,-41.0,-47.0,12.0
142,-42.0,-47.0,13.0
143,-42.0,-47.0,12.0
144,-41.0,-47.0,12.0
145,-42.0,-46.0,13.0
146,-42.0,-47.0,13.0
147,-42.0,-46.0,12.0
148,-42.0,-47.0,13.0
149,-42.0,-47.0,12.0
150,-41.0,-47.0,13.0
151,-42.0,-47.0,13.0
152,-43.0,-47.0,12.0
153,-41.0,-47.0,12.0
154,-42.0,-46.0,13.0
155,-42.0,-47.0,13.0
156,-41.0,-47.0,13.0
157,-42.0,-47.0,13.0
158,-42.0,-47.0,12.0
159,-42.0,-47.0,12.0
160,-42.0,-47.0,12.0
161,-42.0,-47.0,12.0
162,-42.0,-47.0,12.0
163,-42.0,-47.0,13.0
164,-42.0,-46.0,12.0
165,-42.0,-47.0,12.0
166,-42.0,-47.0,13.0
167,-42.0,-47.0,13.0
168,-42.0,-47.0,13.0
169,-42.0,-46.0,13.0
170,-41.0,-48.0,12.0
171,-41.0,-48.0,12.0
172,-42.0,-47.0,12.0
173,-41.0,-47.0,13.0
174,-42.0,-47.0,13.0
175,-42.0,-47.0,12.0
176,-42.0,-46.0,12.0
177,-41.0,-47.0,13.0
178,-42.0,-46.0,13.0
179,-42.0,-45.0,13.0
180,-38.0,-46.0,13.0
181,-37.0,-47.0,13.0
182,-44.0,-46.0,11.0
183,-42.0,-44.0,12.0
184,-42.0,-43.0,12.0
185,-42.0,-43.0,12.0
186,-40.0,-41.0,14.0
187,-34.0,-33.0,16.0
188,-30.0,-30.0,15.0
189,-31.0,-34.0,12.0
190,-43.0,-24.0,10.0
