,TEMP_wrist
0,33.39
1,33.37
2,33.37
3,33.37
4,33.37
5,33.34
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.34
13,33.34
14,33.34
15,33.34
16,33.34
17,33.37
18,33.37
19,33.37
20,33.37
21,33.34
22,33.34
23,33.34
24,33.34
25,33.37
26,33.37
27,33.37
28,33.37
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
38,33.34
39,33.34
40,33.34
41,33.39
42,33.39
43,33.39
44,33.39
45,33.37
46,33.37
47,33.37
48,33.37
49,33.37
50,33.37
51,33.37
52,33.37
53,33.37
54,33.37
55,33.37
56,33.37
57,33.37
58,33.37
59,33.37
60,33.37
61,33.37
62,33.37
63,33.37
64,33.37
65,33.34
66,33.34
67,33.34
68,33.34
69,33.34
70,33.34
71,33.34
72,33.34
73,33.34
74,33.34
75,33.34
76,33.34
77,33.34
78,33.34
79,33.34
80,33.34
81,33.33
82,33.33
83,33.33
84,33.33
85,33.33
86,33.33
87,33.33
88,33.33
89,33.34
90,33.34
91,33.34
92,33.34
93,33.33
94,33.33
95,33.33
96,33.33
97,33.31
98,33.31
99,33.31
100,33.31
101,33.31
102,33.31
103,33.31
104,33.31
105,33.29
106,33.29
107,33.29
108,33.29
109,33.29
110,33.29
111,33.29
112,33.29
113,33.29
114,33.29
115,33.29
116,33.29
117,33.29
118,33.29
119,33.29
120,33.29
121,33.27
122,33.27
123,33.27
124,33.27
125,33.29
126,33.29
127,33.29
128,33.29
129,33.25
130,33.25
131,33.25
132,33.25
133,33.25
134,33.25
135,33.25
136,33.25
137,33.25
138,33.25
139,33.25
140,33.25
141,33.25
142,33.25
143,33.25
144,33.25
145,33.25
146,33.25
147,33.25
148,33.25
149,33.23
150,33.23
151,33.23
152,33.23
153,33.25
154,33.25
155,33.25
156,33.25
157,33.27
158,33.27
159,33.27
160,33.27
161,33.29
162,33.29
163,33.29
164,33.29
165,33.29
166,33.29
167,33.29
168,33.29
169,33.27
170,33.27
171,33.27
172,33.27
173,33.27
174,33.27
175,33.27
176,33.27
177,33.27
178,33.27
179,33.27
180,33.27
181,33.29
182,33.29
183,33.29
184,33.29
185,33.31
186,33.31
187,33.31
188,33.31
189,33.27
190,33.27
191,33.27
192,33.27
193,33.29
194,33.29
195,33.29
196,33.29
197,33.29
198,33.29
199,33.29
200,33.29
201,33.29
202,33.29
203,33.29
204,33.29
205,33.31
206,33.31
207,33.31
208,33.31
209,33.31
210,33.31
211,33.31
212,33.31
213,33.31
214,33.31
215,33.31
216,33.31
217,33.31
218,33.31
219,33.31
220,33.31
221,33.31
222,33.31
223,33.31
224,33.31
225,33.31
226,33.31
227,33.31
228,33.31
229,33.31
