,TEMP_wrist
0,34.0
1,34.0
2,34.0
3,34.0
4,34.03
5,34.03
6,34.03
7,34.03
8,34.05
9,34.05
10,34.05
11,34.05
12,34.03
13,34.03
14,34.03
15,34.03
16,34.03
17,34.03
18,34.03
19,34.03
20,34.03
21,34.03
22,34.03
23,34.03
24,34.05
25,34.05
26,34.05
27,34.05
28,34.03
29,34.03
30,34.03
31,34.03
32,34.05
33,34.05
34,34.05
35,34.05
36,34.03
37,34.03
38,34.03
39,34.03
40,34.05
41,34.05
42,34.05
43,34.05
44,34.05
45,34.05
46,34.05
47,34.05
48,34.03
49,34.03
50,34.03
51,34.03
52,34.03
53,34.03
54,34.03
55,34.03
56,34.05
57,34.05
58,34.05
59,34.05
60,34.03
61,34.03
62,34.03
63,34.03
64,34.05
65,34.05
66,34.05
67,34.05
68,34.05
69,34.05
70,34.05
71,34.05
72,34.05
73,34.05
74,34.05
75,34.05
76,34.05
77,34.05
78,34.05
79,34.05
80,34.07
81,34.07
82,34.07
83,34.07
84,34.05
85,34.05
86,34.05
87,34.05
88,34.05
89,34.05
90,34.05
91,34.05
92,34.05
93,34.05
94,34.05
95,34.05
96,34.05
97,34.05
98,34.05
99,34.05
100,34.05
101,34.05
102,34.05
103,34.05
104,34.07
105,34.07
106,34.07
107,34.07
108,34.07
109,34.07
110,34.07
111,34.07
112,34.05
113,34.05
114,34.05
115,34.05
116,34.07
117,34.07
118,34.07
119,34.07
120,34.07
121,34.07
122,34.07
123,34.07
124,34.07
125,34.07
126,34.07
127,34.07
128,34.07
129,34.07
130,34.07
131,34.07
132,34.07
133,34.07
134,34.07
135,34.07
136,34.07
137,34.07
138,34.07
139,34.07
140,34.09
141,34.09
142,34.09
143,34.09
144,34.07
145,34.07
146,34.07
147,34.07
148,34.05
149,34.05
150,34.05
151,34.05
152,34.09
153,34.09
154,34.09
155,34.09
156,34.07
157,34.07
158,34.07
159,34.07
160,34.07
161,34.07
162,34.07
163,34.07
164,34.07
165,34.07
166,34.07
167,34.07
168,34.07
169,34.07
170,34.07
171,34.07
172,34.05
173,34.05
174,34.05
175,34.05
176,34.07
177,34.07
178,34.07
179,34.07
180,34.09
181,34.09
182,34.09
183,34.09
184,34.07
185,34.07
186,34.07
187,34.07
188,34.09
189,34.09
190,34.09
191,34.09
192,34.07
193,34.07
194,34.07
195,34.07
196,34.07
197,34.07
198,34.07
199,34.07
200,34.07
201,34.07
202,34.07
203,34.07
204,34.07
205,34.07
206,34.07
207,34.07
208,34.07
209,34.07
210,34.07
211,34.07
212,34.07
213,34.07
214,34.07
215,34.07
216,34.07
217,34.07
218,34.07
219,34.07
220,34.05
221,34.05
222,34.05
223,34.05
224,34.05
225,34.05
226,34.05
227,34.05
228,34.05
229,34.05
230,34.05
231,34.05
232,34.05
233,34.05
234,34.05
235,34.05
236,34.07
237,34.07
238,34.07
239,34.07
240,34.05
241,34.05
242,34.05
243,34.05
244,34.03
245,34.03
246,34.03
247,34.03
248,34.05
249,34.05
250,34.05
251,34.05
