,ACC_wrist_x,ACC_wrist_y,ACC_wrist_z
0,54.0,-57.0,127.0
1,35.0,50.0,40.0
2,3.0,30.0,-2.0
3,38.0,23.0,73.0
4,12.0,24.0,74.0
5,20.0,31.0,38.0
6,62.0,46.0,-21.0
7,91.0,53.0,-62.0
8,93.0,65.0,-113.0
9,74.0,62.0,-107.0
10,-117.0,-113.0,127.0
11,-4.0,52.0,2.0
12,47.0,41.0,-11.0
13,36.0,31.0,53.0
14,35.0,30.0,66.0
15,28.0,17.0,51.0
16,47.0,22.0,53.0
17,41.0,32.0,31.0
18,40.0,41.0,15.0
19,44.0,42.0,16.0
20,43.0,43.0,24.0
21,36.0,43.0,26.0
22,37.0,41.0,28.0
23,38.0,39.0,33.0
24,37.0,38.0,34.0
25,38.0,38.0,34.0
26,40.0,38.0,32.0
27,40.0,39.0,32.0
28,41.0,40.0,32.0
29,40.0,40.0,31.0
30,39.0,39.0,31.0
31,39.0,39.0,30.0
32,38.0,39.0,30.0
33,38.0,39.0,31.0
34,39.0,39.0,31.0
35,39.0,39.0,31.0
36,39.0,39.0,32.0
37,40.0,39.0,32.0
38,40.0,39.0,32.0
39,40.0,39.0,31.0
40,39.0,39.0,32.0
41,39.0,39.0,31.0
42,39.0,39.0,31.0
43,38.0,40.0,30.0
44,39.0,39.0,31.0
45,39.0,39.0,31.0
46,38.0,39.0,31.0
47,39.0,39.0,31.0
48,39.0,40.0,31.0
49,38.0,40.0,32.0
50,38.0,39.0,32.0
51,38.0,40.0,31.0
52,39.0,40.0,32.0
53,39.0,40.0,30.0
54,39.0,40.0,31.0
55,39.0,40.0,31.0
56,39.0,40.0,31.0
57,39.0,40.0,30.0
58,39.0,40.0,31.0
59,39.0,40.0,31.0
60,39.0,40.0,31.0
61,39.0,40.0,31.0
62,39.0,40.0,31.0
63,39.0,40.0,31.0
64,38.0,40.0,31.0
65,38.0,40.0,31.0
66,38.0,40.0,30.0
67,38.0,40.0,30.0
68,38.0,40.0,31.0
69,38.0,40.0,31.0
70,39.0,40.0,31.0
71,38.0,40.0,31.0
72,38.0,40.0,31.0
73,39.0,40.0,31.0
74,38.0,40.0,31.0
75,38.0,40.0,31.0
76,38.0,40.0,31.0
77,38.0,40.0,31.0
