,EDA_wrist
0,4.4455
1,4.911148
2,4.741007
3,4.950804
4,4.900373
5,4.814663
6,4.76861
7,4.777565
8,4.927237
9,5.224023
10,5.53744
11,5.828478
12,5.902674
13,5.916746
14,5.87709
15,5.797776
16,5.630194
17,5.46645
18,5.316777
19,5.163267
20,5.907791
21,6.093283
22,6.095525
23,6.005977
24,5.947132
25,5.894682
26,5.884449
27,5.869097
28,5.835837
29,5.810252
30,5.787225
31,5.800018
32,5.825603
33,5.824324
34,5.806414
35,5.802576
36,5.801297
37,5.814089
38,5.789784
39,5.787225
40,5.785946
41,5.780829
42,5.776991
43,5.769316
44,5.764199
45,5.759082
46,5.753965
47,5.747569
48,5.742452
49,5.737334
50,5.692561
51,5.714308
52,5.713029
53,5.720704
54,5.707911
55,5.707911
56,5.700236
57,5.709191
58,5.702795
59,5.71175
60,5.709191
61,5.704074
62,5.747569
63,5.766757
64,5.74501
65,5.720704
66,5.725821
67,5.756523
68,5.766757
69,5.760361
70,5.766757
71,5.765478
72,5.747569
73,5.760361
74,5.74501
75,5.751406
76,5.746289
77,5.747569
78,5.759082
79,5.76164
80,5.76164
81,5.748847
82,5.751406
83,5.742452
84,5.751406
85,5.746289
86,5.746289
87,5.746289
88,5.741172
89,5.751406
90,5.746289
91,5.748847
92,5.747569
93,5.750127
94,5.743731
95,5.748847
96,5.756523
97,5.811531
98,5.79618
99,5.784667
100,5.808972
101,5.819207
102,5.816648
103,5.853746
104,5.840954
105,5.825603
106,5.824324
107,5.829441
108,5.837116
109,5.846071
110,5.844791
111,5.838395
112,5.843513
113,5.846071
114,5.840954
115,5.838395
116,5.819207
117,5.835837
118,5.839674
119,5.842233
120,5.834558
121,5.83072
122,5.820486
123,5.815369
124,5.820486
125,5.814089
126,5.825603
127,5.852467
128,5.952249
129,5.879332
130,5.851188
131,5.851188
132,5.839674
133,5.837116
134,5.823044
135,5.83072
136,5.820486
137,5.71047
138,5.485322
139,5.374027
140,5.392253
141,5.433189
142,5.621239
143,5.696715
144,5.724858
145,5.689039
146,5.645545
147,5.650662
148,5.651941
149,5.648103
150,5.645545
151,5.637869
152,5.635311
153,5.641707
154,5.625077
155,5.635311
156,5.631473
157,5.631473
158,5.626356
159,5.617401
160,5.611005
161,5.611005
162,5.612284
163,5.60205
164,5.613564
165,5.609726
166,5.608447
167,5.607167
168,5.599492
169,5.600771
170,5.593095
171,5.586699
172,5.593095
173,5.640428
174,5.590537
175,5.632752
176,5.608447
177,5.544484
178,5.540646
179,5.547042
180,5.548322
181,5.540646
182,5.532971
183,5.595654
184,5.580303
185,5.567511
186,5.640428
187,5.621239
188,5.65322
189,5.634032
190,5.628914
191,5.625077
192,5.608447
193,5.572628
194,5.416559
195,5.163267
196,5.074999
197,4.956028
198,4.950264
199,4.936192
200,4.927237
201,4.946426
202,4.957939
203,4.945147
204,4.931075
205,4.936192
206,4.931075
207,4.92212
208,4.90549
209,4.906769
210,4.873508
211,4.88886
212,4.902931
213,4.908048
214,4.951543
215,4.969452
216,4.974569
217,4.992479
218,5.157502
219,5.442775
220,5.483712
221,5.492034
222,5.489476
223,5.490756
224,5.472846
225,5.472846
226,5.492034
227,5.454937
228,5.457495
229,5.614843
230,5.544484
231,5.438306
232,5.403766
233,5.408883
234,5.420397
235,5.422955
236,5.421676
237,5.440865
238,5.403766
239,5.408883
240,5.348759
241,5.274562
242,5.280958
243,5.199086
244,5.159429
245,5.082674
246,4.994406
247,5.060927
248,5.095467
249,5.266886
250,5.178618
251,5.223392
252,5.112097
253,4.972659
254,5.02255
255,5.138961
256,5.051972
257,5.048134
258,5.045576
259,5.023829
260,5.060927
261,5.062206
262,5.208041
263,5.238743
264,5.236185
265,5.220833
266,5.202924
267,5.200366
268,5.196527
269,5.199086
270,5.197807
271,5.20932
272,5.220833
273,5.231067
274,5.163267
275,5.186294
276,5.232347
277,5.257932
278,5.282238
279,5.286075
280,5.293751
281,5.292471
282,5.288634
283,5.291192
284,5.288634
285,5.298868
286,5.29503
287,5.297588
288,5.296309
289,5.300147
290,5.269445
291,5.280958
292,5.255373
293,5.291192
294,5.310381
295,5.301426
296,5.167105
297,5.132565
298,5.133844
299,5.144078
300,5.142799
301,5.151754
302,5.138961
303,5.127448
304,5.115935
305,5.138961
306,5.287354
307,5.275841
308,5.269445
309,5.264328
310,5.263049
311,5.268166
312,5.259211
313,5.266886
314,5.257932
315,5.264328
316,5.257932
317,5.269445
318,5.264328
319,5.264328
320,5.263049
321,5.263049
322,5.264328
323,5.256652
324,5.26049
325,5.250256
326,5.26049
327,5.254094
328,5.255373
329,5.255373
330,5.255373
331,5.255373
332,5.248977
333,5.261769
334,5.252815
335,5.254094
336,5.247698
337,5.250256
338,5.250256
339,5.250256
340,5.251535
341,5.248977
342,5.254094
343,5.248977
344,5.251535
345,5.251535
346,5.246418
347,5.241302
348,5.247698
349,5.24386
350,5.240022
351,5.24258
352,5.237463
353,5.245139
354,5.241302
355,5.241302
356,5.240022
357,5.238743
358,5.231067
359,5.231067
360,5.234905
361,5.231067
362,5.238743
363,5.22723
364,5.232347
365,5.231067
366,5.229788
367,5.229788
368,5.231067
369,5.223392
370,5.197807
371,5.214437
372,5.210599
373,5.215716
374,5.214437
375,5.215716
376,5.216996
377,5.213158
378,5.215716
379,5.206761
380,5.208041
381,5.20932
382,5.213158
383,5.211879
384,5.213158
385,5.220833
386,5.211879
387,5.216996
388,5.215716
389,5.211879
390,5.211879
391,5.208041
392,5.210599
393,5.208041
394,5.205482
395,5.200366
396,5.201644
397,5.197807
398,5.201644
399,5.208041
400,5.153033
401,5.208041
402,5.210599
403,5.265607
404,5.280958
405,5.264328
406,5.238743
407,5.231067
408,5.204203
409,5.197807
410,5.19269
411,5.185014
412,5.178618
413,5.168384
414,5.168384
415,5.153033
416,5.154312
417,5.164546
418,5.168384
419,5.15815
420,5.169663
421,5.169663
422,5.167105
423,5.163267
424,5.151754
425,5.164546
426,5.151754
427,5.155591
428,5.14152
429,5.151754
430,5.146637
431,5.145358
432,5.144078
433,5.133844
434,5.133844
435,5.118493
436,5.136403
437,5.117214
438,5.057089
439,5.133844
440,5.100584
441,5.110818
442,5.016153
443,5.026387
444,4.916371
445,4.833852
446,4.835131
447,4.694413
448,4.71744
449,4.782682
450,4.794195
451,4.806987
452,4.849203
453,4.826176
454,4.885022
455,4.824897
456,4.817222
457,4.860716
458,4.863275
459,4.864554
460,4.833852
461,4.865833
462,4.864554
463,4.87095
464,4.860716
465,4.868392
466,4.859437
467,4.853041
468,4.844086
469,4.850482
470,4.845365
471,4.838969
472,4.840248
473,4.833852
474,4.833852
475,4.841527
476,4.85432
477,4.858158
478,4.851761
479,4.840248
480,4.842806
481,4.837689
482,4.812105
483,4.814663
484,4.813384
485,4.806987
486,4.805708
487,4.80315
488,4.80187
489,4.791636
490,4.791636
491,4.787799
492,4.78524
493,4.781403
494,4.775006
495,4.776286
496,4.915724
497,4.931075
498,4.92212
499,4.931075
500,4.920841
501,4.837689
502,4.804429
503,4.732791
504,4.713602
505,4.694413
506,4.727674
507,4.705927
508,4.699531
509,4.693134
510,4.686738
511,4.671387
512,4.66627
513,4.662432
514,4.657315
515,4.663712
516,4.6829
517,4.781403
518,4.771169
519,4.846644
520,4.867112
521,4.890139
522,4.900373
523,4.874788
524,4.874788
525,4.865833
526,4.867112
527,4.863275
528,4.864554
529,4.851761
530,4.835131
531,4.85432
532,4.853041
533,4.858158
534,4.842806
535,4.851761
536,4.844086
537,4.853041
538,4.846644
539,4.847924
540,4.846644
541,4.846644
542,4.844086
543,4.837689
544,4.841527
545,4.836411
546,4.840248
547,4.836411
548,4.831293
549,4.836411
550,4.828735
551,4.831293
552,4.826176
553,4.836411
554,4.81978
555,4.830014
556,4.821059
557,4.828735
558,4.824897
559,4.817222
560,4.821059
561,4.817222
562,4.81978
563,4.818501
564,4.818501
565,4.818501
566,4.809546
567,4.806987
568,4.806987
569,4.813384
570,4.810825
571,4.810825
572,4.809546
573,4.804429
574,4.805708
575,4.805708
576,4.804429
577,4.80187
578,4.791636
579,4.796753
580,4.796753
581,4.796753
582,4.791636
583,4.792916
584,4.791636
585,4.791636
586,4.790357
587,4.789078
588,4.787799
589,4.777565
590,4.78524
591,4.773727
592,4.783961
593,4.780123
594,4.778844
595,4.778844
596,4.772448
597,4.781403
598,4.772448
599,4.773727
600,4.763493
601,4.76861
602,4.772448
603,4.78652
604,4.767331
605,4.713602
606,4.727674
607,4.744304
